top - 18:06:41 up 33 days, 23:44,  6 users,  load average: 0.67, 0.95, 1.12
Tasks: 171 total,   1 running, 169 sleeping,   1 stopped,   0 zombie
Cpu(s):  5.2%us,  0.4%sy,  0.0%ni, 91.7%id,  2.6%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   2058200k total,  1496812k used,   561388k free,   100132k buffers
Swap:  2040244k total,   146600k used,  1893644k free,   488228k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                                 
   52 root      10  -5     0    0    0 S    0  0.0   0:00.00 khubd                                                                                                   
   54 root      10  -5     0    0    0 S    0  0.0   0:00.00 kseriod                                                                                                 
  168 root      10  -5     0    0    0 S    0  0.0   2:01.80 kswapd0                                                                                                 
  169 root      12  -5     0    0    0 S    0  0.0   0:00.00 aio/0                                                                                                   
  170 root      12  -5     0    0    0 S    0  0.0   0:00.00 aio/1                                                                                                   
  171 root      12  -5     0    0    0 S    0  0.0   0:00.00 aio/2                                                                                                   
  172 root      12  -5     0    0    0 S    0  0.0   0:00.00 aio/3                                                                                                   
  318 root      12  -5     0    0    0 S    0  0.0   0:00.00 kpsmoused                                                                                               
  379 root      11  -5     0    0    0 S    0  0.0   0:00.00 scsi_eh_0                                                                                               
  407 root      12  -5     0    0    0 S    0  0.0   0:00.00 kauditd                                                                                                 
  441 root      21  -4 12584  176  172 S    0  0.0   0:00.08 udevd                                                                                                   
 1069 root      10  -5     0    0    0 S    0  0.0   0:00.00 kedac                                                                                                   
 1215 root      11  -5     0    0    0 S    0  0.0   0:00.00 ata/0                                                                                                   
 1216 root      11  -5     0    0    0 S    0  0.0   0:00.00 ata/1                                                                                                   
 1217 root      11  -5     0    0    0 S    0  0.0   0:00.00 ata/2                                                                                                   
 1218 root      11  -5     0    0    0 S    0  0.0   0:00.00 ata/3                                                                                                   
 1219 root      11  -5     0    0    0 S    0  0.0   0:00.00 ata_aux                                                                                                 
 1250 apache    15   0  300m  11m 2092 S    0  0.6   0:00.54 httpd                                                                                                   
 1402 root      11  -5     0    0    0 S    0  0.0   0:00.00 kmpathd/0                                                                                               
 1403 root      13  -5     0    0    0 S    0  0.0   0:00.00 kmpathd/1                                                                                               
 1404 root      14  -5     0    0    0 S    0  0.0   0:00.00 kmpathd/2                                                                                               
 1405 root      15  -5     0    0    0 S    0  0.0   0:00.00 kmpathd/3                                                                                               
 1499 root      10  -5     0    0    0 S    0  0.0   0:00.00 kjournald                                                                                               
 1990 root      16   0  5888  356  284 S    0  0.0   0:50.87 syslogd                                                                                                 
 1993 root      15   0  3784  268  216 S    0  0.0   0:00.00 klogd                                                                                                   
 2009 root      18   0 10708  288  212 S    0  0.0   0:10.19 irqbalance                                                                                              
 2025 dbus      15   0 21244  244  240 S    0  0.0   0:00.00 dbus-daemon                                                                                             
 2078 root      15   0 21620  464  360 S    0  0.0   0:00.08 xinetd                                                                                                  
 2113 root      15   0 40848  212  208 S    0  0.0   0:00.00 couriertcpd                                                                                             
 2115 root      18   0 33540  236  232 S    0  0.0   0:00.00 courierlogger                                                                                           
 2123 root      25   0 40848  212  208 S    0  0.0   0:00.00 couriertcpd                                                                                             
 2125 root      18   0 33544  184  180 S    0  0.0   0:00.00 courierlogger                                                                                           
 2131 root      15   0 40852  280  228 S    0  0.0   0:00.18 couriertcpd                                                                                             
 2133 root      18   0 33544  308  244 S    0  0.0   0:00.12 courierlogger                                                                                           
 2140 root      25   0 40848  212  208 S    0  0.0   0:00.00 couriertcpd                                                                                             
 2142 root      18   0 33540  184  180 S    0  0.0   0:00.00 courierlogger                                                                                           
 2160 qmails    16   0  3824  276  208 S    0  0.0   0:24.34 qmail-send                                                                                              
 2162 qmaill    16   0  3772  272  216 S    0  0.0   0:06.15 splogger                                                                                                
 2163 root      24   0  3812   80   76 S    0  0.0   0:00.00 qmail-lspawn                                                                                            
 2164 qmailr    15   0  3816  196  120 S    0  0.0   0:03.70 qmail-rspawn                                                                                            
 2165 qmailq    18   0  3768  156  108 S    0  0.0   0:03.44 qmail-clean                                                                                             
 2225 named     25   0  179m 1024  492 S    0  0.0   0:01.69 named                                                                                                   
 2429 postgres  15   0  120m  408  364 S    0  0.0   0:00.23 postmaster                                                                                              
 2431 postgres  15   0  109m  288  204 S    0  0.0   0:00.09 postmaster                                                                                              
 2450 postgres  15   0  120m  348  284 S    0  0.0   0:00.67 postmaster                                                                                              
 2451 postgres  18   0  110m  136  112 S    0  0.0   0:00.04 postmaster                                                                                              
 2452 postgres  18   0  109m  172  156 S    0  0.0   0:00.00 postmaster                                                                                              
 2474 root      15   0  160m  500  420 S    0  0.0   0:00.10 httpsd                                                                                                  
 2516 root      15   0 74768  692  320 S    0  0.0   0:00.86 crond                                                                                                   
 2543 xfs       18   0 20420  284  244 S    0  0.0   0:00.00 xfs                                                                                                     
 2559 avahi     15   0 23108  520  424 S    0  0.0   0:01.48 avahi-daemon                                                                                            
 2560 avahi     24   0 23108  104  100 S    0  0.0   0:00.00 avahi-daemon                                                                                            
 2579 haldaemo  16   0 30648  316  312 S    0  0.0   0:00.27 hald                                                                                                    
 2580 root      17   0 21644  212  208 S    0  0.0   0:00.00 hald-runner                                                                                             
 2585 haldaemo  15   0 12284  244  240 S    0  0.0   0:00.00 hald-addon-keyb                                                                                         
 2595 root      18   0 10188  192  172 S    0  0.0   0:40.26 hald-addon-stor                                                                                         
 2610 root      16   0  3768  180  176 S    0  0.0   0:00.00 mingetty                                                                                                
 2611 root      17   0  3768  180  176 S    0  0.0   0:00.00 mingetty                                                                                                
 2612 root      17   0  3772  180  176 S    0  0.0   0:00.00 mingetty                                                                                                
 2613 root      18   0  3768  180  176 S    0  0.0   0:00.00 mingetty                                                                                                
 2615 root      18   0  3772  180  176 S    0  0.0   0:00.00 mingetty                                                                                                
 2617 root      18   0  3772  180  176 S    0  0.0   0:00.00 mingetty                                                                                                
 2620 tomcat    15   0 82116  48m  364 S    0  2.4   3:24.88 memcached                                                                                               
 2769 root      15   0 77124 1756  772 S    0  0.1   0:01.19 miniserv.pl                                                                                             
 4009 psaadm    15   0  216m 8032 4764 S    0  0.4   0:08.05 httpsd                                                                                                  
 5547 apache    15   0  300m  11m 2092 S    0  0.6   0:00.51 httpd                                                                                                   
 6390 root      16   0  129m  868  864 S    0  0.0   0:00.00 su                                                                                                      
 6396 root      16   0 66168  548  544 S    0  0.0   0:00.01 bash                                                                                                    
 6432 root      16   0  2760  560  388 S    0  0.0   0:00.01 bash                                                                                                    
 8741 root      16   0 98.2m 3668 2820 S    0  0.2   0:00.01 sshd                                                                                                    
 8746 luca      15   0 98.3m 1908 1040 S    0  0.1   0:00.11 sshd                                                                                                    
 8747 luca      15   0 66036 1616 1204 S    0  0.1   0:00.02 bash                                                                                                    
 9061 apache    15   0  300m  11m 2092 S    0  0.6   0:00.45 httpd                                                                                                   
 9072 apache    15   0  300m  11m 2068 S    0  0.6   0:00.47 httpd                                                                                                   
 9073 apache    15   0  300m  11m 2092 S    0  0.6   0:00.48 httpd                                                                                                   
 9074 apache    15   0  300m  11m 2092 S    0  0.6   0:00.45 httpd                                                                                                   
 9091 apache    15   0  300m  11m 2092 S    0  0.6   0:00.47 httpd                                                                                                   
 9092 apache    15   0  300m  11m 2092 S    0  0.6   0:00.47 httpd                                                                                                   
13177 psaadm    15   0  216m 7984 4764 S    0  0.4   0:10.62 httpsd                                                                                                  
14215 root      18   0  299m  19m  10m S    0  1.0   0:00.80 httpd                                                                                                   
14850 hudson    18   0  430m 1276  240 S    0  0.1   0:13.91 java                                                                                                    
15571 apache    15   0  300m  11m 2092 S    0  0.6   0:00.29 httpd                                                                                                   
16018 apache    15   0  300m  11m 2092 S    0  0.6   0:00.29 httpd                                                                                                   
16023 apache    15   0  300m  11m 2068 S    0  0.6   0:00.28 httpd                                                                                                   
18066 root      15   0     0    0    0 S    0  0.0   0:00.00 pdflush                                                                                                 
19060 contents  15   0 30120 9196  656 S    0  0.4   0:00.00 ruby                                                                                                    
19397 root      16   0 98.2m 3660 2804 S    0  0.2   0:00.03 sshd                                                                                                    
19409 alexei    15   0 98.4m 2116 1168 S    0  0.1   0:00.05 sshd                                                                                                    
19410 alexei    16   0 53988 2148 1476 S    0  0.1   0:00.09 sftp-server                                                                                             
19777 alexei    15   0 66040 1620 1192 S    0  0.1   0:00.12 bash                                                                                                    
19916 root      15   0 98.2m 3672 2820 S    0  0.2   0:00.01 sshd                                                                                                    
19920 bruno     15   0  100m 4248 1032 S    0  0.2   0:00.39 sshd                                                                                                    
19921 bruno     18   0 66036 1472 1156 S    0  0.1   0:00.00 bash                                                                                                    
19966 bruno     18   0 74408  964  768 S    0  0.0   0:00.00 screen                                                                                                  
20682 apache    15   0  300m  11m 2092 S    0  0.6   0:01.11 httpd                                                                                                   
21309 root      15   0 60532  668  552 S    0  0.0   0:25.86 sshd                                                                                                    
21570 root      16   0 98.2m 3668 2816 S    0  0.2   0:00.01 sshd                                                                                                    
21574 galarrag  15   0 98.3m 1912 1044 S    0  0.1   0:00.15 sshd                                                                                                    
21575 galarrag  16   0 66040 1628 1204 S    0  0.1   0:00.11 bash                                                                                                    
21654 apache    15   0  237m 8416  440 S    0  0.4   0:00.00 httpd                                                                                                   
21661 root      15   0  206m 3860 2372 S    0  0.2   0:10.09 ApplicationPool                                                                                         
21662 root      15   0 39540  10m 1376 S    0  0.5   0:00.17 ruby                                                                                                    
21740 tomcat    16   0  107m 2668 1684 T    0  0.1   0:00.09 mysql                                                                                                   
21972 root      16   0  129m  868  864 S    0  0.0   0:00.00 su                                                                                                      
21975 root      15   0 66240 1424 1024 S    0  0.1   0:00.79 bash                                                                                                    
22108 contents  17   0  112m  35m 3388 S    0  1.8   4:21.89 ruby                                                                                                    
23096 contents  15   0  112m  36m 2588 S    0  1.8   0:00.99 ruby                                                                                                    
23098 contents  15   0  158m  72m 2336 S    0  3.6   0:06.93 ruby                                                                                                    
23148 bruno     16   0 66036 1388 1068 S    0  0.1   0:00.00 bash                                                                                                    
23149 root      16   0  129m 2508 1888 S    0  0.1   0:00.00 su                                                                                                      
23151 root      16   0 66176 1608 1164 S    0  0.1   0:00.01 bash                                                                                                    
25001 apache    15   0  300m  12m 2092 S    0  0.6   0:00.87 httpd                                                                                                   
25428 contents  15   0  6104  640  300 S    0  0.0   0:01.76 beanstalkd                                                                                              
25864 root      15   0     0    0    0 S    0  0.0   0:00.92 pdflush                                                                                                 
26794 apache    15   0  300m  11m 2096 S    0  0.6   0:00.75 httpd                                                                                                   
27503 root      15   0 98.2m 3684 2832 S    0  0.2   0:00.01 sshd                                                                                                    
27508 contents  15   0 99.2m 1908 1032 S    0  0.1   0:00.12 sshd                                                                                                    
27509 contents  15   0 66040 1616 1188 S    0  0.1   0:00.02 bash                                                                                                    
27950 bruno     16   0 75872 2084  552 S    0  0.1   1:20.70 screen                                                                                                  
27951 bruno     15   0 66036  260  256 S    0  0.0   0:00.03 bash                                                                                                    
27987 bruno     16   0 66032  260  256 S    0  0.0   0:00.00 bash                                                                                                    
27988 bruno     15   0 66032  256  252 S    0  0.0   0:00.00 bash                                                                                                    
27993 root      17   0  129m  268  264 S    0  0.0   0:00.00 su                                                                                                      
27994 tomcat    16   0 66180 1108  780 S    0  0.1   0:00.30 bash                                                                                                    
28043 root      15   0 66044  924  488 S    0  0.0   0:00.00 bash                                                                                                    
28046 root      15   0 18464 2352 1324 S    0  0.1   0:00.52 ndb_mgmd                                                                                                
28058 root      18   0 19096 2084  588 S    0  0.1   0:00.00 ndbd                                                                                                    
28064 mysql     15   0  149m  41m 7468 S    0  2.1  12:30.20 mysqld                                                                                                  
29797 tomcat    15   0  8152 2648 1888 S    0  0.1   0:00.00 mysql                                                                                                   
31525 apache    15   0  300m  11m 2092 S    0  0.6   0:00.62 httpd                                                                                                   
31531 apache    15   0  300m  11m 2092 S    0  0.6   0:00.70 httpd                                                                                                   
31545 apache    15   0  300m  11m 2096 S    0  0.6   0:00.61 httpd                                                                                                   

